,ABL1,ADA,AKT1,AKT2,AKT3,ALDOA,ALDOC,ALK,APC,ATM,BCL2,BCL2A1,BCL2L1,BCL2L2,BID,BRAF,BRCA1,BRCA2,BTK,CDH1,CDK2,CDK4,CDK6,CDK9,CDKN2A,CETN2,CHEK1,CHEK2,DHFR,DLAT,DLD,EGFR,ENO1,ERBB2,ERCC1,FBP1,FGFR2,FGFR3,FLT3,G6PC,G6PD,GAPDH,GATA3,GCK,GOT1,GOT2,HDAC1,HDAC2,HDAC6,HK1,HSP90AA1,IGF1,IGF1R,IGFBP3,IGHMBP2,IMPDH1,JAK2,KDR,KIT,LDHA,LDHB,MAP2K1,MAP2K2,MAP3K1,MAPK12,MAPK1,MCL1,MDH1,MDH2,MDM2,ME1,ME2,MET,MLH1,MSH6,MTOR,NF1,PARP1,PARP2,PBRM1,PC,PCK1,PDGFRA,PDHA1,PDHB,PDHX,PFKL,PGAM1,PGD,PGK1,PIK3CA,PIK3R1,POLD4,POLR2A,PPM1D,PRKDC,PTEN,RAD23B,RAD51,RAD9A,RB1,RBX1,RELA,RPIA,RPS6KB1,RRM1,RUNX1,SMAD4,SMARCA4,SMARCB1,SMO,SRC,TKT,TNFRSF10B,TOP1,TP53,TPI1,TSC1,TYMS,UBB,UBC,UNG,USP1,VEGFA,VHL,WEE1
5720,-0.4636234,-0.13599229,-0.5593372,0.09142239,-0.94503176,-1.2213974,-1.2945652,0.03497776,-0.45713803,0.3887243,-1.520661,-0.44215402,-0.1476008,0.2462315,-0.39358705,-0.27047005,0.09074348,-1.15337825,-1.15623081,-0.404897,0.59234786,1.02070928,0.20325181,1.53137922,-0.50364578,-1.34327865,-0.50479174,0.05442241,-1.23038983,0.09577431,-0.43558598,0.02949593,0.29790378,-0.49053246,-0.2977792,0.10395589,-0.96289515,0.50109255,0.30680206,-1.12941253,0.01166365,0.25228161,-0.29512802,-0.3605538,0.22577135,1.12385654,0.32069084,-0.69964421,-0.54580778,-0.05197551,-0.09800462,-1.49690342,-0.24137963,-0.05907153,0.10705444,0.42774698,-0.70578283,-1.36915672,0.48059428,0.11203898,-1.62688875,0.0213446,-1.96864665,0.94430435,0.37836975,0.66224015,0.53816086,0.3158139,-0.98992264,-0.41098401,-0.2937535,-1.70875037,-0.11562601,0.52388978,-0.30087563,-0.10914721,0.2556999,0.11703175,0.7208488,0.86915803,-0.38727,0.8694073,0.33181551,-0.25463462,0.53825653,0.70054835,-1.24062896,-1.16015196,-0.72876537,0.56969899,0.015195,-0.97700512,0.49480698,-0.8637253,0.02562317,-1.84210002,0.17519929,-1.00305748,-0.42724395,-0.63067526,0.35806412,-0.57906854,-0.51043594,0.05535843,0.19350341,-0.69704628,0.50328416,-0.82374644,-0.07138684,0.07001951,-0.80603725,-0.60219854,-1.17304087,0.27858227,-0.59834015,-0.59086609,-0.26752934,0.55481929,-1.38004684,-1.60777402,-0.97249246,0.334575,-0.19963202,0.45927912,-0.29435173,-0.52607852
466,-0.326782197,-0.572315455,-0.377669334,-0.208073989,-0.575899661,-1.382323027,-0.836634398,0.505538881,-1.549939871,0.464058697,-0.127938509,-0.028257843,0.297749102,0.463055015,0.472293615,-0.93486017,-0.295142055,0.129199103,0.128135115,0.755756021,-0.105167382,0.294828653,0.201170072,-0.077246763,-0.141357243,-0.549813509,0.035763755,0.939470112,-1.598735809,0.412529767,-0.304153532,-0.300207377,0.765612364,-1.008138776,-0.358401328,-0.354298115,-0.613261104,-0.744585514,-0.122014396,-0.96896708,-0.647504807,-0.588465929,-1.092778564,-0.01109612,-0.589871407,1.235375762,0.047193557,-0.593693554,-0.714935422,-0.350370914,-0.185978636,-0.472520977,0.329499513,-0.409891307,0.206410229,0.281489402,-0.013067015,-0.316828311,-0.267388016,0.061101183,-1.18814981,-0.223750874,-0.55726862,0.208114743,-0.166181058,0.232793957,0.237596706,-0.874623656,-0.294609547,-0.330642939,-0.230735496,-1.227393985,0.239879653,0.667138279,-1.848471046,-0.109515138,-0.766769171,0.333316356,-0.042789433,-0.325591087,0.1502527,0.994296908,0.221087068,-0.080393001,-0.146333158,-1.891136766,-0.482685149,-0.175703928,-0.923820376,0.050819673,-0.083363511,-0.053305149,0.433502942,-1.542018056,-0.794851661,0.207550004,-0.229658455,-0.274178773,-0.94977653,-0.163806602,1.087447643,-0.720842063,0.368374139,0.365337849,0.251795322,-0.100303635,0.41290462,0.118716687,0.000806282,-0.375761688,-0.703316033,-0.945596278,-0.964359522,0.222184122,-0.86081481,0.003368138,-0.72298795,0.657824516,-0.487205863,-0.998157144,-0.787658334,0.037675016,-0.725000918,0.819840252,-0.391298711,-2.059690714
6009,-0.5127281,0.16238032,-0.48923367,-0.37203217,-1.0976702,-0.90925658,-2.12266946,-0.36318848,-0.28316173,0.31307316,0.34181538,-0.04248594,-0.15177906,0.09567274,0.42700538,-0.41997069,0.54926002,0.04869267,-1.2931006,0.51854682,0.05160199,-0.11838374,-0.14669332,-0.06965595,0.01420066,-0.80790478,-0.39371064,0.07559191,-1.04976857,-0.17573896,-0.3828502,-0.40514472,0.55726463,-0.68777567,0.23808984,-0.65329278,-0.48651791,-0.40177876,0.07597753,0.09348045,0.06577516,0.82146871,-0.12860259,-0.29782599,-0.23424387,0.23993571,-0.39597148,0.03777749,-0.67206031,-0.49851099,-3.13543892,-0.02628243,-0.33686382,-0.16225377,0.17212209,-0.17828771,-0.59943706,0.48476759,0.18842876,0.09759852,-1.00430667,-0.64183027,0.17784822,0.3181715,-0.49089175,-0.12648779,0.04335034,0.26562825,-0.38500038,-0.34004581,-0.0983986,-0.21010976,-0.3418434,0.11175784,-0.29403022,-0.11110394,-1.89984703,-0.12551832,0.17245544,0.24619508,0.52012742,0.41895875,0.25498167,-0.4829995,-0.12066467,-2.63301873,0.02255377,-0.89512724,-0.30588916,0.5411694,0.59011412,-2.64553285,0.63815987,-0.58741266,-1.83057368,0.26174998,-0.45685905,-0.0337363,0.04361966,-1.30010724,0.50151455,-0.77793002,-0.67047447,-0.76998442,0.35836944,-0.02195337,-1.40813684,0.34786075,-0.03987613,0.50772613,-0.90389782,-2.31363106,-0.13486536,0.24697638,-0.66539645,-0.02030711,1.10371399,0.02760598,-0.63176966,-0.95595151,-1.96169758,0.09777498,-0.53330123,0.52025813,-0.40066484,-0.56477702
2309,0.507680237,-0.098473221,0.423707157,-0.063697174,0.040319152,0.822387755,0.619293928,-0.772816896,0.2350308,0.421454489,0.269480854,0.334123999,-0.497591555,0.092090487,-0.02607578,-0.193280727,-0.10559991,-0.266213596,0.166476369,-0.43538931,-0.068594091,-0.195869103,0.20686464,0.082024142,-0.017259881,0.21350117,0.17792505,0.167751595,0.61144495,0.086067058,0.712219238,0.311698586,0.263987362,0.364172399,1.532087326,-0.080388457,0.048892628,0.212867379,-0.136676893,-0.879243374,0.34928143,0.162611946,0.331195712,-0.695526958,-0.605061173,0.706640124,0.528897405,0.629054368,0.716001332,0.811800301,0.320868492,2.506853819,0.175587416,0.875687599,-0.311828703,-0.364045858,1.028290272,-0.584332466,0.055161871,-0.028414719,0.26016745,0.289952159,-0.144960046,-0.774232149,-0.646297336,-0.229324132,0.168907419,-0.375006318,0.157236457,-0.297857583,0.386381865,1.432984471,-0.04611266,-0.640816092,-0.009271789,0.473309636,0.466983974,0.324276805,-0.084313057,-0.105882064,0.588408589,0.680324793,-0.197580069,1.72394824,-0.044447172,1.303702354,0.607296646,0.966581702,-0.215771556,0.801793635,0.518314302,-0.032633126,-0.404168516,0.554250479,0.34832713,0.968874991,-0.429960698,0.52347815,0.666012645,-0.229408965,-0.122197576,0.690766811,0.102056608,0.613931179,-0.441076249,-0.121723741,0.252577126,0.211593926,-0.492416203,0.988699496,-0.039349202,1.408018231,1.766612053,0.159307331,1.146078467,0.700671136,0.925006986,0.271402419,1.854568243,-0.543356717,0.182139128,1.240774989,-0.434186995,0.745209038,-0.380435765,0.800793529
387,-0.1612552,0.06985906,-0.92155421,-1.01953554,-0.55631405,-1.45011616,-0.64193308,-0.0969429,0.01800317,0.28552401,0.05659381,-0.40472972,0.58481604,0.80142665,0.20966002,-0.48975313,0.08394572,0.06818745,-0.49883023,0.14451522,-0.04494512,0.08989607,-0.22000459,-0.23083854,-0.18441707,-0.10121302,-0.41307223,0.17318848,-1.4013387,0.67540133,0.31863859,-0.44032428,0.91051167,-0.52577299,-0.48149163,-0.4275493,-0.39097473,0.39307332,0.91445649,0.32751027,-0.29569,-0.01771923,-0.88476408,0.43866754,-0.27483341,-0.1200713,-0.02159985,0.39546576,-1.33937097,-0.59408772,-0.00445807,0.16749544,-0.01457108,0.54372156,-0.65846431,1.0767535,-0.45436698,-0.66589957,-0.58432639,0.56525755,-0.4219732,-0.30373991,-0.73682725,0.65665519,-0.27808708,0.10627536,0.95933747,1.14839804,0.10582711,-0.45745444,-0.17952593,-0.08781432,0.47650915,0.60985291,-1.33527875,-0.34239185,-1.10573423,0.5259133,0.49140921,-0.46841127,0.62669164,-0.29715669,0.80416155,-0.48002779,0.22622128,-1.56830144,-1.13092399,-1.09358764,0.37598696,0.2984311,-0.04320962,-0.57119513,0.56261778,-0.50992858,0.04971068,-0.370675,-0.07220193,-0.77556944,-0.4340229,0.29127368,0.28864712,-1.23421729,-0.72147381,-0.23946889,0.1561228,-0.71568358,0.66762018,-0.2593247,-0.03432729,0.25183061,-1.29096949,-1.78615808,-0.14290212,0.04867528,-0.30344501,0.07573487,-0.06604484,-0.43593901,-1.28455043,-0.89838499,-0.91296899,-0.27825001,0.06947547,0.24095738,-0.02937059,-1.34864295
3553,0.27466172,1.22775316,0.85435539,0.96019393,1.01354444,1.36435437,0.54118621,-0.71882439,0.71802664,0.13392897,0.27459806,-0.40741208,-0.69665921,-0.8494814,0.1130145,0.94479364,-0.29630995,0.61455792,0.8319599,-0.28690872,-0.16785416,-0.42658445,-0.09113732,-0.30286354,0.04168373,0.6147759,0.24707703,-0.16423674,1.48022079,-0.67984992,0.31221437,0.69985926,-1.00778461,0.70296681,0.5981198,0.84231836,0.55599797,-0.32053882,-0.46120757,0.08116177,0.57895803,-0.44875407,0.26005995,-0.39876792,0.2956484,-0.86321646,-0.11270706,0.05807189,1.12564075,0.24605753,-0.14075777,0.75383598,-0.0230025,-0.26372474,-0.43261045,-0.48079211,0.68742406,1.77763343,0.70501977,-0.68112975,0.78107285,0.02451617,1.20288157,-0.34389228,0.13917355,-0.4156782,-1.1738081,-0.66048932,0.38936269,0.71917176,0.51391739,0.51446366,-0.28738111,-0.65581977,0.91305643,0.1676897,0.64391708,-0.27842069,-0.82037389,-0.25308466,0.05512824,-0.69785988,-0.68656498,-0.61428308,-0.5642246,1.18727756,1.32381439,0.79567546,0.07628436,-0.20705494,-0.03474954,0.24093497,-0.22049093,0.07810837,-0.70220727,1.79122496,-0.26988119,-0.15665697,0.7648381,-0.21072195,-0.74852169,0.86232644,-0.36102727,-0.22907004,0.22150411,0.30147359,-0.82218897,0.72935623,-0.17310995,-0.33471364,0.93094504,1.15141428,0.01328149,-0.62164837,1.01255953,-0.08275327,0.78506398,-0.43966243,1.40647888,1.15453112,1.00016308,-0.043975,0.29924014,-0.79534155,-0.21081784,0.39931357
427,-0.384239435,0.666444719,-0.144510075,0.212701276,0.295069367,0.515983641,1.337064981,0.949996948,-0.337946236,0.22473678,0.177549109,0.170143321,0.116990283,-0.249970526,-0.454378366,-0.00422762,-0.358990401,-0.060690209,0.037479538,-0.550874174,-0.246942237,0.306693017,0.175137877,-0.011644512,0.763798177,-0.050967336,-0.276542336,-0.083806574,0.342407435,-0.233920649,0.169655144,0.437003791,-0.106987521,0.024625313,0.589301229,0.954558253,-0.272206813,-0.149445742,-0.107199773,0.311146736,0.005734302,0.061739329,0.134932443,-0.265353769,0.055684492,-0.049909621,-0.097574636,0.3073982,0.371513903,-0.199131787,-1.08493948,-0.460513234,-0.45385167,-0.035961896,-0.760044277,0.257543743,0.380112261,0.561211944,0.266092002,-0.046261117,-0.675689161,-0.66981566,0.22346206,0.564165294,-0.644573033,-0.377686262,-0.138815627,0.631932795,1.470077038,0.440810889,0.519153118,0.423766017,-0.15907152,-0.179211721,-0.201202527,-0.043369785,-1.032446265,-0.010354474,-0.310393572,-0.696474493,0.160772949,0.302524865,-0.746432662,-0.192808688,-0.945543349,-0.164499357,0.094251864,-0.174013555,0.250216246,-0.059344631,-0.452281505,0.087566897,-0.589464664,-0.116705015,0.58705461,0.565824986,-0.200327933,0.484620184,0.183591127,-0.422632843,0.242543221,1.28090322,0.005357511,-0.125455827,0.342540503,-0.646881938,-0.235396415,0.071356699,-0.348618269,-0.967006147,-1.11610353,0.288528591,0.359126359,-0.161969975,-0.782880962,0.631745219,0.879475117,0.769472897,-0.091438919,-0.225264937,-0.937169671,1.201025009,-0.073563658,-0.414855689,0.158417806,0.149591014
5898,0.415187985,0.873182476,0.34254685,0.615800202,0.806161344,1.105632782,-0.108418964,0.343846172,1.900488257,0.222091466,0.625706732,0.527381361,-0.287924707,-0.228710964,0.435318589,0.074258857,-0.054129459,-0.691794395,0.76315856,-1.202015638,-0.281089276,-0.124859422,-0.511359215,-0.549948812,-0.016858205,1.135859609,0.135790154,-0.056942474,-0.69977808,-0.577256024,-0.081791721,0.072830588,-0.402585208,0.750129461,0.494059861,0.382908344,-0.172204301,0.383383423,-0.340812057,0.263216496,-0.494402796,-0.44999373,-0.973675489,-0.648086965,-0.212107271,-0.549244225,-0.535782158,-0.235040233,1.113743901,-0.144731104,0.095339634,-0.188349322,-0.36299926,-0.401167095,-0.917509913,-0.344439179,0.223945901,0.984644234,0.269055843,-0.666184664,-0.411482453,-0.627138078,0.162750185,-0.187815368,0.315940887,0.1135405,-0.541129649,-0.119236261,0.605642796,-0.367147386,0.091418766,0.47669068,-0.476639718,-0.405001909,0.30648616,-0.218770191,0.00337439,0.039572522,-0.933054507,-0.15499641,-1.167431116,-0.928129077,-0.587834299,-0.538772047,-0.511628032,1.538923025,0.714194179,0.489770085,0.421203136,-0.534859479,-0.283069581,-0.06239799,-0.151858434,0.000904083,-0.12697576,-0.379100084,-0.071458802,0.54930228,0.244344845,0.636838496,-0.316556633,0.378687143,-0.043338139,-0.494578034,-0.257225633,1.019975424,-0.466946483,-0.026533814,0.192859903,-0.106156141,0.548257649,-0.168790504,-0.065710329,0.079554953,-0.788722634,0.560518801,1.033538342,-0.111417644,0.322782278,1.207418442,0.259569049,-0.297500014,-0.290388525,-0.566394508,0.513537645,-0.05837322
23365,0.230903015,0.587351561,0.450007916,0.921461344,0.672149956,2.087749481,0.131551668,-0.26973024,0.153589234,0.16270642,0.241537601,0.631183386,-0.507237434,-0.231540144,0.11544133,0.122515045,0.24451521,0.69957161,1.189731598,-0.531072259,0.02488409,-0.804487467,-0.065200582,0.534338892,-0.108009979,0.402036548,0.43230316,-0.009534491,0.01535371,0.247819528,-0.558511436,0.647912383,-0.330589294,0.494654268,-0.163983762,0.283652395,0.347521752,0.15408662,0.037092097,1.50373292,-0.055041611,-0.15105398,0.14046146,-0.880843282,-0.068892241,-0.528317511,-0.042915661,0.13365452,-0.158940882,0.87860471,-0.154429749,0.399120122,0.071216762,-0.435216695,-0.346248686,-0.118583575,0.830765069,1.109195471,-0.428326935,0.349254936,0.686979771,-0.008756779,0.599009097,0.09096536,0.029729202,-0.562069893,-0.319325984,0.026226347,0.587300062,0.709618032,0.700660586,0.324166864,0.204983294,-0.202562034,1.0276438,0.308925748,-0.367665112,-0.362545431,-0.261167824,-0.760686815,0.093015909,-0.489426911,-0.379416794,-0.573740006,-0.504323423,-0.280508786,0.529161573,-0.048429191,0.771568954,0.345225453,-0.071139902,-0.213832945,-0.307137221,-0.404837966,-0.172306761,1.165324926,0.067514665,0.46729973,-0.185690492,0.360789895,0.111542136,1.045732975,0.069850847,0.339560986,-0.0534494,-0.000557415,-0.441039652,0.892884433,0.07475052,-0.313822508,0.504988253,1.347985745,0.901230216,-0.229660466,0.380837441,-0.499486536,0.269739687,-0.906127811,1.479859591,1.220071673,0.498756468,0.149749994,0.449651718,0.088200524,0.05198583,0.406449258
6657,0.355305851,0.277928293,0.096092433,0.227312475,0.753636956,1.617760658,0.326336414,-1.061304808,0.071188882,-0.138638809,-0.281250447,0.085615382,-0.513635516,-0.326057285,0.42083028,1.040464997,0.065333054,0.663334727,0.406029731,-0.013359875,-0.240638688,-0.765904009,-0.195892692,-0.217026517,-0.148207009,0.429871202,0.07478828,-0.29200393,1.18462038,0.288875669,-0.344435722,0.431099534,-0.484993458,0.859265208,0.281933129,0.143174231,0.729860723,0.011258662,-0.709513307,0.038908869,0.683647215,-0.00078841,0.960676014,-0.494558275,0.812534809,-0.967568159,0.152780935,0.265088201,0.55845809,0.280556351,0.013786651,0.046177149,0.019102739,0.16957581,-0.335575521,-0.63687104,0.308665991,0.771971226,0.153227642,-0.471361429,0.189382508,0.170166791,0.995827615,0.340138018,0.066348568,-0.882724762,-1.130714178,-0.614061892,0.212931767,0.524529755,0.813159347,0.715100646,0.008105112,-0.330109179,0.870448589,-0.056422655,0.451632291,-0.474888742,-0.846803069,-0.242516115,-0.301074565,-0.742153645,-0.562186003,-0.259291619,-0.02303585,0.812751293,1.539465666,0.32099402,0.982635498,-0.229902044,-0.197146758,0.365079314,0.199047357,-0.698775947,-0.637352943,-0.066174999,-0.096467651,-1.38185811,0.42431134,-0.676614702,-0.382934064,1.113403082,-0.268666625,0.385993391,0.174111828,-0.273048371,-0.68854028,0.577335537,0.375164747,-0.615172267,0.47058785,0.774536848,0.130093932,-0.558599234,0.966880322,-0.269545466,-0.099762127,-1.085154891,0.820269227,0.992856324,0.621719122,-0.432549954,0.057810813,-0.456854135,-0.53684628,1.604706407
